#Dep	POS	Category	Pcategory	FCCategory	WORD	Sense	Arg1	Role	Arg2	Function
VPRT	o	o	o	o	o	o	this	firstchild	parent	Compound2
NVE	o	o	o	o	o	o	this	o	parent	Compound
LVP	o	o	o	o	o	o	NVE	this	parent	Compound2
PROG	o	o	o	o	o	o	this	o	parent	Compound
OBJ2	o	o	o	o	o	o	this	o	parent	Compound
ENC	o	o	o	o	o	o	this	o	parent	Compound
NE	o	o	o	o	o	o	this	o	parent	Compound
NPRT	o	o	o	o	o	o	this	firstchild	parent	Compound2
SBJ	o	ANM	A_T	o	o	o	parent	Agent	this	ActVerbEx
SBJ	o	ANM	A_N	o	o	o	parent	Agent	this	ActVerbEx
SBJ	o	ANM	PAS	o	o	o	parent	Patient	this	o
SBJ	o	OBJ	A_T	o	o	o	parent	Instrument	this	o
SBJ	o	OBJ	A_N	o	o	o	parent	Theme	this	o
SBJ	o	OBJ	PAS	o	o	o	parent	Theme	this	o
SBJ	o	ACT	A_T	o	o	o	parent	Cause	this	o
SBJ	o	ACT	A_N	o	o	o	parent	Theme	this	o
SBJ	o	ACT	PAS	o	o	o	parent	Theme	this	o
SBJ	o	LOC	A_T	o	o	o	parent	Agent	this	ActVerbEx
SBJ	o	LOC	A_N	o	o	o	parent	Agent	this	ActVerbEx
SBJ	o	LOC	PAS	o	o	o	parent	Location	this	o
NCL	o	o	ANM	A_T	که،تا	o	firstchild	Agent	parent	ActVerbEx
NCL	o	o	ANM	A_N	که،تا	o	firstchild	Agent	parent	ActVerbEx
NCL	o	o	ANM	PAS	که،تا	o	firstchild	Agent	parent	o
NCL	o	o	OBJ	A_T	که،تا	o	firstchild	Instrument	parent	o
NCL	o	o	OBJ	A_N	که،تا	o	firstchild	Theme	parent	o
NCL	o	o	OBJ	PAS	که،تا	o	firstchild	Theme	parent	o
NCL	o	o	ACT	A_T	که،تا	o	firstchild	Cause	parent	o
NCL	o	o	ACT	A_N	که،تا	o	firstchild	Theme	parent	o
NCL	o	o	ACT	PAS	که،تا	o	firstchild	Theme	parent	o
NCL	o	o	LOC	A_T	که،تا	o	firstchild	Agent	parent	ActVerbEx
NCL	o	o	LOC	A_N	که،تا	o	firstchild	Agent	parent	ActVerbEx
NCL	o	o	LOC	PAS	که،تا	o	firstchild	Location	parent	o
NCL	o	o	o	o	که،تا	o	firstchild	Theme	parent	o
NCL	o	o	o	o	o	o	parent	Theme	this	o
SBJ	o	TIME	A_T	o	o	o	parent	Cause	this	o
SBJ	o	TIME	A_N	o	o	o	parent	Theme	this	o
SBJ	o	TIME	PAS	o	o	o	parent	Theme	this	o
OBJ	o	o	o	ANM	را	o	parent	Patient	firstchild	o
OBJ	o	o	o	OBJ	را	o	parent	Theme	firstchild	o
OBJ	o	o	o	ACT	را	o	parent	Theme	firstchild	o
OBJ	o	o	o	LOC	را	o	parent	Location	firstchild	o
OBJ	o	o	o	TIME	را	o	parent	Theme	firstchild	o
OBJ	o	ANM	o	o	o	o	parent	Patient	this	o
OBJ	o	OBJ	o	o	o	o	parent	Theme	this	o
OBJ	o	ACT	o	o	o	o	parent	Theme	this	o
OBJ	o	LOC	o	o	o	o	parent	Location	this	o
OBJ	o	TIME	o	o	o	o	parent	Theme	this	o
VPP	o	o	o	ANM	o	o	parent	Patient	firstchild	o
VPP	o	o	o	OBJ	o	o	parent	Theme	firstchild	o
VPP	o	o	o	ACT	o	o	parent	Theme	firstchild	o
VPP	o	o	o	LOC	از	o	parent	StartLocation	firstchild	o
VPP	o	o	o	LOC	به،تا	o	parent	EndLocation	firstchild	o
VPP	o	o	o	LOC	با،برای،علیه،درباره	o	parent	Theme	firstchild	o
VPP	o	o	o	LOC	o	o	parent	Location	firstchild	o
VPP	o	o	o	TIME	از	o	parent	StartTime	firstchild	o
VPP	o	o	o	TIME	تا	o	parent	EndTime	firstchild	o
VPP	o	o	o	TIME	o	o	parent	Time	firstchild	o
ADVC	o	LOC	o	o	o	o	parent	Location	this	o
ADVC	o	TIME	o	o	o	o	parent	Time	this	o
ADVC	o	o	o	o	o	o	parent	o	this	CheckType
VCL	CONJ	o	o	o	o	o	parent	Theme	firstchild	o
VCL	o	o	o	o	o	o	parent	Theme	this	o
MOS	o	o	o	o	o	o	SBJ	Description	this	o
TAM	N	o	o	o	o	o	OBJ	Description	this	o
ADV	o	ANM	o	o	o	o	parent	Patient	this	o
ADV	o	OBJ	o	o	با،توسط	o	parent	Instrument	this	o
ADV	o	OBJ	o	o	در،بر،روی،توی،زیر،پشت،میان،کنار،بین،جلو،مقابل،دور،داخل،بالای،وسط،درون،پای،لای،مابین،نزدیک،بیرون،گرداگرد،عقب،روبرو،لب	o	parent	Location	this	o
ADV	o	OBJ	o	o	o	o	parent	Theme	this	o
ADV	o	ACT	o	o	برای،به منظور،به خاطر، به دلیل،به علت،به دنبال	o	parent	Cause	this	o
ADV	o	ACT	o	o	o	o	parent	Theme	this	o
